nose_y,nose_x,nose_confidence,left_eye_y,left_eye_x,left_eye_confidence,right_eye_y,right_eye_x,right_eye_confidence,left_ear_y,left_ear_x,left_ear_confidence,right_ear_y,right_ear_x,right_ear_confidence,left_shoulder_y,left_shoulder_x,left_shoulder_confidence,right_shoulder_y,right_shoulder_x,right_shoulder_confidence,left_elbow_y,left_elbow_x,left_elbow_confidence,right_elbow_y,right_elbow_x,right_elbow_confidence,left_wrist_y,left_wrist_x,left_wrist_confidence,right_wrist_y,right_wrist_x,right_wrist_confidence,left_hip_y,left_hip_x,left_hip_confidence,right_hip_y,right_hip_x,right_hip_confidence,left_knee_y,left_knee_x,left_knee_confidence,right_knee_y,right_knee_x,right_knee_confidence,left_ankle_y,left_ankle_x,left_ankle_confidence,right_ankle_y,right_ankle_x,right_ankle_confidence
0.36693826,0.49950886,0.33626863,0.3566569,0.50345373,0.40485084,0.35801396,0.4987734,0.4048707,0.36359686,0.5073391,0.49498668,0.36598396,0.49120694,0.47906563,0.4334195,0.5290963,0.5496206,0.4335458,0.47265315,0.48410177,0.5293685,0.5420043,0.2853387,0.5303169,0.45421925,0.33024555,0.60300595,0.5523237,0.25233406,0.59388596,0.46046168,0.18508123,0.5856109,0.50978714,0.47884548,0.5920762,0.48444304,0.4110363,0.7425175,0.5014682,0.3313104,0.7470466,0.48607144,0.3487021,0.87147534,0.50827575,0.23147924,0.85160935,0.47740176,0.47376367
0.3991727,0.49632615,0.4711335,0.3859762,0.50340635,0.6191817,0.38359478,0.49045184,0.69607043,0.37151876,0.5144064,0.75928247,0.37094218,0.4808168,0.73858577,0.43596086,0.53330445,0.9271317,0.4347571,0.46409038,0.9455229,0.5358303,0.5530562,0.8504306,0.532873,0.4451487,0.9198157,0.62886935,0.5654535,0.7510893,0.62087935,0.43317527,0.8067614,0.6014407,0.5200251,0.86179554,0.60040516,0.47608292,0.8614745,0.74928564,0.52715784,0.89474314,0.7493442,0.47321182,0.8751536,0.8562501,0.52879936,0.9050046,0.8526525,0.47243488,0.80502987
0.38249013,0.49404547,0.5218042,0.3675676,0.500803,0.6410291,0.36767918,0.48785716,0.55758107,0.36468643,0.5113495,0.67495733,0.36696985,0.48085612,0.6008291,0.43479264,0.5340858,0.7478911,0.43482363,0.4640546,0.85436386,0.53836954,0.55376625,0.8656101,0.5357827,0.44490954,0.8696705,0.62426203,0.5667221,0.83648896,0.62227964,0.43272078,0.8103132,0.60342634,0.5192558,0.8804248,0.60143113,0.47583666,0.8812302,0.7519572,0.5278101,0.85170454,0.7530786,0.47243643,0.9230237,0.85436696,0.5285885,0.7490946,0.8518397,0.4719885,0.9420688
0.38827348,0.49408016,0.56682825,0.37162328,0.5004414,0.6250973,0.37179413,0.4872598,0.5979483,0.36609852,0.5122027,0.7348692,0.3679373,0.48141974,0.6753878,0.43472326,0.53426903,0.77241766,0.43435514,0.46440616,0.8934337,0.53900295,0.553951,0.88658535,0.53262895,0.44404656,0.7607637,0.62462413,0.5667372,0.8572362,0.6208411,0.43164107,0.7778253,0.602996,0.519329,0.8795141,0.60072875,0.4758751,0.85717326,0.75162995,0.52639914,0.89076924,0.75142187,0.47317275,0.92440754,0.85316956,0.5277845,0.9183931,0.8521192,0.47152805,0.91349405
0.38680956,0.49397674,0.5786895,0.3697315,0.50033087,0.6739223,0.36973235,0.48734146,0.62049484,0.36554804,0.51184756,0.74377763,0.3668631,0.48147875,0.6852619,0.43439016,0.5339619,0.7544679,0.43397254,0.4643982,0.8954309,0.538575,0.55475444,0.89785856,0.5367798,0.44371226,0.8841016,0.62466633,0.56736624,0.8661876,0.6225353,0.43152413,0.77816635,0.5997791,0.5186305,0.8428388,0.59782284,0.47589663,0.8899687,0.7494057,0.5260625,0.8625235,0.7477125,0.4733995,0.9029552,0.8527804,0.52794796,0.92354214,0.85274327,0.47170186,0.91103077
0.38126394,0.49417248,0.5692474,0.3668107,0.5009441,0.618291,0.3661803,0.48842618,0.62170255,0.36436993,0.5124532,0.69664776,0.3662502,0.48120317,0.67117107,0.43467432,0.53390753,0.8120442,0.43408915,0.4644481,0.9007992,0.53840166,0.55556446,0.9055401,0.53815305,0.4425658,0.89506924,0.6269016,0.5678701,0.75688845,0.6244023,0.43096834,0.6439201,0.59751296,0.51895773,0.87143236,0.59621155,0.47600234,0.8846771,0.7468953,0.5260972,0.9006283,0.7487014,0.47315902,0.9177141,0.8540392,0.5291076,0.8236893,0.8532801,0.47155616,0.92577684
0.37975442,0.49349102,0.5708692,0.36235395,0.5001592,0.6409439,0.36386624,0.4878476,0.5189508,0.3640336,0.51204264,0.6754373,0.3653806,0.48121125,0.6252871,0.43486294,0.5340472,0.83421624,0.43446657,0.46418807,0.8654437,0.53921777,0.5554833,0.8362238,0.53724617,0.44304553,0.89304984,0.6259881,0.56767726,0.8007308,0.6220742,0.4290829,0.85259986,0.5977133,0.5191069,0.89860785,0.59572554,0.4758133,0.8629106,0.74628425,0.5265581,0.87953776,0.7467988,0.4731267,0.8907341,0.853719,0.5288329,0.8301139,0.85025424,0.47194356,0.9039104
0.37926787,0.49367756,0.5778332,0.3617938,0.5004426,0.6728998,0.36251098,0.4871388,0.60197175,0.36408335,0.5125694,0.65917337,0.36484933,0.48166126,0.6297103,0.43484658,0.5340952,0.83803314,0.4349747,0.46434638,0.8712714,0.5355364,0.5550135,0.8308399,0.53671217,0.44290024,0.88629556,0.62546307,0.5682009,0.83665586,0.6237055,0.42854667,0.8405065,0.59785765,0.51860803,0.89872456,0.5953196,0.4756782,0.8904298,0.74701905,0.52646446,0.89184576,0.7483328,0.4722267,0.9102277,0.85408473,0.5289728,0.826141,0.84981847,0.4720444,0.8931195
0.38010016,0.49346292,0.5706181,0.36283824,0.5004046,0.61777633,0.3643392,0.4879921,0.55556184,0.36460203,0.51084536,0.54150444,0.36513755,0.48167512,0.66503084,0.43432721,0.53392935,0.84508276,0.43436098,0.4646578,0.89144146,0.5354288,0.5551262,0.8292931,0.5363509,0.44241014,0.8919639,0.6253515,0.5681963,0.82826674,0.62227494,0.42787656,0.81774634,0.59662974,0.51883894,0.89260006,0.59465146,0.47602683,0.85219383,0.74514675,0.5263601,0.8841148,0.746119,0.47244555,0.8883333,0.85408986,0.52872527,0.83933616,0.8504918,0.47200584,0.89227474
0.38190985,0.49365863,0.5368124,0.36673445,0.50063515,0.6607125,0.3668212,0.4877706,0.6103247,0.36463386,0.51293063,0.7333815,0.3657422,0.48197988,0.6948638,0.43365097,0.5341365,0.8401143,0.43471768,0.4648519,0.9073203,0.5347234,0.55537105,0.8117078,0.53483456,0.4422281,0.8922964,0.62527597,0.568278,0.840726,0.62227833,0.4274784,0.76833314,0.5976039,0.51935077,0.9086666,0.5951723,0.4762317,0.8681958,0.74697036,0.5263133,0.89791846,0.7470143,0.47235548,0.90569043,0.8547037,0.52897656,0.8254061,0.85013837,0.471988,0.893272
